"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1ahQsOwEQMuqh7DgUvYSGN","Hello, Dolly!","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:2Ef9NrKKmZE9ArGFLoLSfa","Hello, Dolly!","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1964-01-01","https://i.scdn.co/image/ab67616d0000b2737443295d80898aafa4241183","1","1","147000","","false","0","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:6lTTzSk1hRrxp4VMwXBp2l","My Way","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:7gmak9ZGm10y4PtZa9SBQn","Ultimate Sinatra","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","2015-04-21","https://i.scdn.co/image/ab67616d0000b273b19cb81319fbfd9ed54baeae","1","22","274933","https://p.scdn.co/mp3-preview/e556693fdda2438b3dbb7c6fefc4b743d733bb39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:0YTgZJfVLmJ0b8XAMZKRKg","Mack the Knife","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","spotify:album:65okcRJHUVUrFiDG3I1Sz8","The Ultimate Bobby Darin","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","2004-11-23","https://i.scdn.co/image/ab67616d0000b27332ca9d1b933d95925e170c90","1","5","184333","https://p.scdn.co/mp3-preview/e8b0f9dfca9fd213711a72271025bcb8014e4a13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:2EIaO5knwUA3F2qnf9LV3S","Beyond the Sea","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","spotify:album:65okcRJHUVUrFiDG3I1Sz8","The Ultimate Bobby Darin","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","2004-11-23","https://i.scdn.co/image/ab67616d0000b27332ca9d1b933d95925e170c90","1","17","172480","https://p.scdn.co/mp3-preview/265a0fffe03b363973ddf23f0c8f4e55a3d0b45a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:7FXj7Qg3YorUxdrzvrcY25","Fly Me To The Moon - Remastered","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Frank Sinatra, Count Basie","spotify:album:3i67sGIVw8EBlgfSRv3Lj2","Nothing But The Best (Remastered)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","2008-01-01","https://i.scdn.co/image/ab67616d0000b273b81d66d1416afa139d12767b","1","8","147520","https://p.scdn.co/mp3-preview/0b6d8d488b419afe9f88a9158e5c8214f36ca826?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:inathan007","2020-07-23T22:21:00Z"
"spotify:track:5niJy0x6sCDt7quOPqrqM4","Singin' in the Rain","spotify:artist:1mhlGWeiNrWnhJJc2EufYk","Gene Kelly","spotify:album:3HYeuwTOd72mL5GnoQzrdv","Florentinske Netter: Melodiminner Fra 1952 (Lirekassen No. 17)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006-05-15","https://i.scdn.co/image/ab67616d0000b273e0e2c74001648693875f84da","1","13","177000","","false","3","spotify:user:inathan007","2020-07-23T22:22:11Z"
"spotify:track:7GHf8dQ2wA71wYOuRsQCZP","Rhythm of the Rain","spotify:artist:6qF0CJP412Gd50Rn1sFg2o","The Cascades","spotify:album:0JdsCjqgkPenYahT4NoE17","Rhythm Of The Rain","spotify:artist:6qF0CJP412Gd50Rn1sFg2o","The Cascades","1963","https://i.scdn.co/image/ab67616d0000b273d5122126000e5fa612bdf8ac","1","12","146360","https://p.scdn.co/mp3-preview/f3161f5f6ab07b65c05ce7f4f33c337956a34e46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:7a9uRVfAZn74qHOFbQEiHN","Raindrops Keep Falling on My Head - Rerecorded","spotify:artist:0uUNzXylqsZdmFDwdxaP1V","B.J. Thomas","spotify:album:0lFdsJrLGE5pL2YgY82Nsw","The Best of B. J. Thomas (Rerecorded)","spotify:artist:0uUNzXylqsZdmFDwdxaP1V","B.J. Thomas","2011-01-01","https://i.scdn.co/image/ab67616d0000b273f4f1d210c94b03f6bc446b82","1","5","179080","https://p.scdn.co/mp3-preview/d339e4a5c75fc959761f7c44605c8c814329c886?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:inathan007","2020-07-23T20:37:43Z"
"spotify:track:4yEoBe0b9paEGQrUIGxBCb","Look On The Bright Side Of Life (All Things Dull And Ugly) - From ""Life Of Brian"" Original Motion Picture Soundtrack","spotify:artist:5IxfhXIHjAOAqibxl90NZO","Monty Python","spotify:album:4cYol9QwSRf7PQWAkeQDGa","Monty Python's Life Of Brian (Original Motion Picture Soundtrack)","spotify:artist:5IxfhXIHjAOAqibxl90NZO","Monty Python","2006","https://i.scdn.co/image/ab67616d0000b27359302b9649f5ef4501436f89","1","31","238293","https://p.scdn.co/mp3-preview/171ddb6791c05cf2190f5ac43ea8d397bc19e02d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:inathan007","2020-07-25T08:17:37Z"
"spotify:track:1zW2csx1vVJrKfvDrFQNVt","Jump in the Line","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z","Harry Belafonte","spotify:album:1o6SO1ywnIQgb3MFMF1siI","Jump Up Calypso","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z","Harry Belafonte","1961-07-21","https://i.scdn.co/image/ab67616d0000b273d601d5b51bcb9931de6b57c6","1","7","221704","https://p.scdn.co/mp3-preview/6b4fa0e8064462dc9efa03f1c982b67c660872b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:inathan007","2020-07-23T20:37:43Z"
