"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4TsmezEQVSZNNPv5RJ65Ov","Pon de Replay","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:4FyGpObwABjn0o8Tdp7AZz","Music Of The Sun","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2005-08-29","https://i.scdn.co/image/ab67616d0000b273b21609e1a2d7c1b7ba8efae2","1","1","246960","https://p.scdn.co/mp3-preview/2fe872fe20ce8beb348d84183024a3a0e623190a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:30cSNer6TV8x2utjULVeQ5","SOS","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:2JdjS6jjOml7nt7Yjo0nnh","A Girl Like Me","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2006-04-10","https://i.scdn.co/image/ab67616d0000b273d744a51e193d52170070062b","1","1","238920","https://p.scdn.co/mp3-preview/1bbdd82d6924371cedd783abed5309b2b8ee7642?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:49FYlytm3dAAraYgpoJZux","Umbrella","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Rihanna, JAY-Z","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","1","275986","https://p.scdn.co/mp3-preview/d2f6c09abf795c6842cab7e60310cd7cd10898c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:2VOomzT6VavJOGBeySqaMc","Disturbia","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","13","238626","https://p.scdn.co/mp3-preview/e26d0066f70792d7885c2c5769d657857d540d81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:60jzFy6Nn4M0iD1d94oteF","Rude Boy","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:7uGmyYwDFJbSc1xs4hkEs2","Rated R","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2009-11-20","https://i.scdn.co/image/ab67616d0000b273ab647295c0c97446c1f1a3b5","1","8","222920","https://p.scdn.co/mp3-preview/8b525e85aa86ddefb53535ba7d474631a9172adb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:6jAsmDJI8iPhGWtS27kZ67","Only Girl (In The World)","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:35dJsQDEr549O5DTFUy3uM","Loud","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2010-11-15","https://i.scdn.co/image/ab67616d0000b2731c8ca4907c9f187456fe3f2c","1","5","235520","https://p.scdn.co/mp3-preview/0d0ecee37688978768601756bf37870a58800f3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:6qn9YLKt13AGvpq9jfO8py","We Found Love","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:7CajNmpbOovFoOoasH2HaY","Rihanna, Calvin Harris","spotify:album:2g1EakEaW7fPTZC6vBmBCn","Talk That Talk","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2011-11-18","https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46","1","3","215226","https://p.scdn.co/mp3-preview/f3661004fd1abe16acd3fbe668795f27b97c962a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:7Kt59L2ZZGtOnIhvMwzG6f","Diamonds","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:4eddbruVtOqw8khwxSH6H2","Unapologetic (Deluxe)","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2012-12-11","https://i.scdn.co/image/ab67616d0000b2730e6cedee56e37a9a65f2164d","1","2","225146","https://p.scdn.co/mp3-preview/193f442c21c36a3f76e5e197e8ec28438b6a560e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:1Tt4sE4pXi57mTD1GCzsqm","Needed Me","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3Q149ZH46Z0f3oDR7vlDYV","ANTI","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2016-01-28","https://i.scdn.co/image/ab67616d0000b27333de8537b313380d4f4c3ca6","1","7","191600","","true","1","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
"spotify:track:1XrrzhGLErbkiwH5v3xww9","Higher","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3Q149ZH46Z0f3oDR7vlDYV","ANTI","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2016-01-28","https://i.scdn.co/image/ab67616d0000b27333de8537b313380d4f4c3ca6","1","12","120626","","true","0","spotify:user:thrillist-ent","2017-08-15T22:25:31Z"
