Id	Id Usuario	Id Musica	Dt Download
1	59	601	2021-01-01 07:31:05.287
2	53	1124	2021-01-01 07:43:24.630
3	53	530	2021-01-01 07:51:42.540
4	53	1981	2021-01-01 09:43:52.897
5	53	190	2021-01-01 09:44:23.100
6	53	1790	2021-01-01 09:44:56.880
7	53	3029	2021-01-01 09:45:48.537
8	39	1321	2020-12-27 22:28:18.423
9	55	1238	2020-12-28 03:15:56.450
10	55	1238	2020-12-28 04:01:37.223
11	45	707	2020-12-28 09:58:53.220
12	61	241	2020-12-28 10:50:57.833
13	61	1780	2020-12-28 10:51:07.740
14	55	2612	2020-12-28 11:59:32.297
15	16	2997	2020-12-28 12:13:01.330
16	16	125	2020-12-28 12:13:01.330
17	55	1975	2020-12-28 12:29:56.470
18	55	2739	2020-12-28 12:30:37.987
19	55	2784	2020-12-28 12:31:03.220
20	55	1301	2020-12-28 12:32:40.597
21	49	1084	2020-12-28 12:47:32.270
22	36	834	2020-12-28 13:47:04.730
23	36	1668	2020-12-28 13:47:23.963
24	48	30	2020-12-28 13:57:29.857
25	48	1702	2020-12-28 13:58:00.683
26	59	1700	2020-12-28 14:02:56.793
27	39	1279	2020-12-28 14:12:06.670
28	31	2240	2020-12-28 14:28:09.970
29	2	452	2020-12-28 15:04:53.960
30	2	2262	2020-12-28 15:09:25.833
31	2	840	2020-12-28 15:10:00.757
32	16	250	2020-12-28 16:12:35.483
33	59	1868	2020-12-28 16:12:39.140
34	2	2899	2020-12-28 16:20:42.313
35	49	2560	2020-12-28 17:25:59.573
36	12	1524	2020-12-28 19:01:51.743
37	23	1423	2020-12-28 23:07:49.860
38	23	934	2020-12-28 23:11:19.547
39	23	1381	2020-12-28 23:11:19.547
40	23	1976	2020-12-28 23:11:19.547
41	23	1324	2020-12-28 23:11:19.547
42	23	1556	2020-12-28 23:11:19.547
43	23	855	2020-12-28 23:11:19.547
44	23	53	2020-12-28 23:11:19.547
45	23	1481	2020-12-28 23:11:19.547
46	21	3027	2020-12-29 00:38:15.043
47	54	2225	2020-12-29 04:05:30.560
48	54	2035	2020-12-29 04:05:41.247
49	54	663	2020-12-29 04:06:06.903
50	54	3079	2020-12-29 04:21:30.923
51	54	1835	2020-12-29 04:21:52.657
52	54	1542	2020-12-29 04:22:47.830
53	54	1719	2020-12-29 04:27:00.160
54	54	2709	2020-12-29 04:30:56.863
55	54	533	2020-12-29 04:31:16.987
56	54	385	2020-12-29 04:32:46.113
57	54	2031	2020-12-29 04:33:14.393
58	54	1655	2020-12-29 04:33:48.067
59	63	2145	2020-12-29 08:40:21.773
60	16	1272	2020-12-29 11:14:11.340
61	16	1653	2020-12-29 11:14:33.090
62	16	270	2020-12-29 11:14:43.103
63	16	1737	2020-12-29 11:14:57.260
64	16	692	2020-12-29 11:18:15.683
65	16	928	2020-12-29 11:18:24.543
66	16	2414	2020-12-29 11:19:08.480
67	16	585	2020-12-29 11:19:08.480
68	16	652	2020-12-29 11:19:26.480
69	38	2798	2020-12-29 12:44:29.563
70	38	2772	2020-12-29 12:44:38.783
71	20	71	2020-12-30 07:09:09.293
72	51	403	2020-12-30 08:31:21.627
73	51	3060	2020-12-30 08:31:21.627
74	51	2506	2020-12-30 08:31:21.627
75	51	2512	2020-12-30 08:31:21.627
76	51	1901	2020-12-30 08:31:21.627
77	51	2909	2020-12-30 08:32:23.610
78	51	1763	2020-12-30 08:32:23.610
79	51	2983	2020-12-30 08:32:23.610
80	51	1897	2020-12-30 08:32:23.610
81	36	578	2020-12-30 08:37:48.240
82	31	2591	2020-12-30 08:43:47.020
83	5	2591	2020-12-30 10:19:42.703
84	16	1052	2020-12-30 11:39:43.730
85	16	1134	2020-12-30 12:01:52.263
86	16	2824	2020-12-30 12:02:47.357
87	16	1981	2020-12-30 12:08:16.000
88	16	189	2020-12-30 12:10:28.063
89	60	652	2020-12-30 14:33:20.297
90	60	1801	2020-12-30 14:40:42.003
91	22	2815	2020-12-30 15:08:39.363
92	22	392	2020-12-30 15:09:31.583
93	22	1891	2020-12-30 15:10:14.647
94	23	2504	2020-12-30 17:24:18.697
95	21	2586	2020-12-30 17:26:14.870
96	23	1726	2020-12-30 17:30:49.807
97	21	2476	2020-12-30 17:43:16.467
98	21	580	2020-12-30 17:49:51.013
99	5	2075	2020-12-30 18:12:54.640
100	26	52	2020-12-30 18:14:49.673
101	26	2184	2020-12-30 18:19:16.640
102	26	2590	2020-12-30 18:20:22.033
103	23	1627	2020-12-30 18:44:20.893
104	23	1686	2020-12-30 18:44:43.863
105	23	2968	2020-12-30 18:44:49.177
106	23	2933	2020-12-30 18:45:01.927
107	23	1547	2020-12-30 18:48:54.647
108	42	2302	2020-12-30 19:41:47.007
109	42	1926	2020-12-30 19:42:06.727
110	23	2709	2020-12-30 20:29:31.923
111	23	1517	2020-12-30 20:29:31.923
112	23	1741	2020-12-30 20:29:31.923
113	23	761	2020-12-30 20:29:31.923
114	23	1736	2020-12-30 20:29:31.923
115	23	1052	2020-12-30 20:29:31.923
116	23	2075	2020-12-30 20:29:31.923
117	23	970	2020-12-30 20:29:31.923
118	21	211	2020-12-30 20:55:37.537
119	22	845	2020-12-30 20:59:04.600
120	22	1331	2020-12-30 20:59:47.070
121	22	2110	2020-12-30 21:02:26.507
122	22	112	2020-12-30 21:07:01.727
123	22	1703	2020-12-30 21:16:56.757
124	22	1577	2020-12-30 21:25:23.587
125	22	1804	2020-12-30 21:31:36.120
126	22	947	2020-12-30 21:33:19.057
127	22	1808	2020-12-30 21:33:34.620
128	10	2108	2020-12-30 23:49:13.247
129	10	2620	2020-12-30 23:55:29.390
130	10	3035	2020-12-30 23:56:21.030
131	10	979	2020-12-31 00:01:56.703
132	24	2247	2020-12-31 08:28:24.633
133	24	2301	2020-12-31 08:28:31.837
134	24	2301	2020-12-31 08:28:42.977
135	24	790	2020-12-31 08:29:13.117
136	24	2657	2020-12-31 08:29:49.977
137	24	942	2020-12-31 08:29:58.727
138	24	2363	2020-12-31 08:30:40.210
139	53	2759	2020-12-31 09:23:13.637
140	31	2831	2020-12-31 09:29:03.620
141	17	1731	2020-12-31 10:19:31.733
142	23	1926	2020-12-31 11:21:01.463
143	23	2935	2020-12-31 11:23:45.463
144	23	1089	2020-12-31 11:31:31.917
145	23	627	2020-12-31 11:32:48.670
146	23	3002	2020-12-31 11:33:31.120
147	23	1668	2020-12-31 11:34:03.450
148	14	1499	2020-12-31 12:08:30.797
149	10	2438	2020-12-31 13:59:37.233
150	42	2461	2020-12-31 14:44:56.630
151	42	2945	2020-12-31 14:45:56.693
152	42	1447	2020-12-31 14:53:21.083
153	26	149	2020-12-31 22:10:38.300
154	26	2273	2020-12-31 22:13:25.817
155	26	775	2020-12-31 22:14:38.847
156	53	670	2021-01-01 07:39:17.367
157	53	2827	2021-01-01 07:54:35.617
158	53	2960	2021-01-01 09:44:09.410
159	53	1836	2021-01-01 09:45:59.660
160	53	2847	2021-01-01 09:46:12.410
161	53	1046	2021-01-01 09:46:30.567
162	60	1023	2020-12-28 16:19:05.640
163	12	2713	2020-12-28 19:04:20.527
164	12	1253	2020-12-28 19:05:49.040
165	12	2764	2020-12-28 19:07:32.103
166	23	1842	2020-12-28 23:11:19.547
167	23	2470	2020-12-28 23:11:19.547
168	23	2999	2020-12-28 23:11:19.547
169	23	1111	2020-12-28 23:11:19.547
170	23	225	2020-12-28 23:11:19.547
171	23	1390	2020-12-28 23:11:19.547
172	23	196	2020-12-28 23:11:19.547
173	23	2601	2020-12-28 23:11:19.547
174	23	2418	2020-12-28 23:11:19.547
175	23	718	2020-12-28 23:11:19.547
176	23	1537	2020-12-28 23:11:19.547
177	23	1351	2020-12-28 23:11:19.547
178	23	1664	2020-12-28 23:11:19.547
179	23	1227	2020-12-28 23:11:19.547
180	16	2357	2020-12-29 11:19:50.480
181	10	1505	2020-12-29 13:27:39.273
182	10	1324	2020-12-29 13:28:27.790
183	51	157	2020-12-30 08:31:21.627
184	51	1863	2020-12-30 08:31:21.627
185	51	2844	2020-12-30 08:31:21.627
186	51	2658	2020-12-30 08:31:21.627
187	5	2573	2020-12-30 10:37:51.753
188	5	535	2020-12-30 10:38:18.503
189	5	114	2020-12-30 10:39:08.580
190	5	1684	2020-12-30 10:41:30.723
191	5	2051	2020-12-30 10:42:43.783
192	5	2257	2020-12-30 10:43:54.237
193	24	830	2020-12-30 10:52:40.550
194	16	2922	2020-12-30 11:05:08.367
195	16	2006	2020-12-30 11:06:07.633
196	16	2492	2020-12-30 11:07:04.180
197	10	2218	2020-12-30 20:25:31.673
198	10	2550	2020-12-30 20:25:50.580
199	10	383	2020-12-30 20:26:02.390
200	10	1500	2020-12-30 20:26:37.530
201	10	1477	2020-12-30 20:26:57.423
202	10	1033	2020-12-30 20:27:06.203
203	23	2561	2020-12-30 20:29:31.923
204	23	2419	2020-12-30 20:29:31.923
205	23	1860	2020-12-30 20:29:31.923
206	23	1290	2020-12-30 20:29:31.923
207	23	765	2020-12-30 20:29:31.923
208	23	1735	2020-12-30 20:29:31.923
209	23	541	2020-12-30 20:29:31.923
210	23	571	2020-12-30 20:29:31.923
211	21	2242	2020-12-30 20:49:04.067
212	21	956	2020-12-30 20:51:41.693
213	53	1981	2021-01-01 09:46:48.803
214	53	2145	2021-01-01 09:46:56.803
215	53	190	2021-01-01 09:47:30.757
216	53	732	2021-01-01 09:48:07.833
217	53	1022	2021-01-01 09:48:17.067
218	53	1961	2021-01-01 09:48:33.303
219	53	2468	2021-01-01 09:48:42.147
220	53	1062	2021-01-01 09:49:17.990
221	53	2030	2021-01-01 09:49:31.460
222	53	595	2021-01-01 09:49:41.397
223	53	3029	2021-01-01 09:49:51.757
224	10	2901	2021-01-01 10:22:00.857
225	10	2199	2021-01-01 10:22:34.560
226	10	363	2021-01-01 10:22:34.560
227	10	2395	2021-01-01 10:22:38.370
228	58	533	2021-01-01 10:40:53.080
229	58	2443	2021-01-01 10:42:06.173
230	58	516	2021-01-01 10:43:59.860
231	58	1128	2021-01-01 10:48:57.547
232	18	2870	2021-01-01 14:03:58.243
233	38	3017	2021-01-01 21:46:10.813
234	26	2858	2021-01-01 23:19:31.057
235	26	1859	2021-01-01 23:20:13.447
236	26	2623	2021-01-01 23:20:27.370
237	26	999	2021-01-01 23:22:11.433
238	26	391	2021-01-01 23:22:33.027
239	26	1362	2021-01-01 23:22:57.120
240	26	1218	2021-01-01 23:23:12.027
241	26	1423	2021-01-01 23:23:44.760
242	26	776	2021-01-01 23:24:35.620
243	26	1718	2021-01-01 23:25:09.447
244	26	3055	2021-01-01 23:25:24.993
245	26	321	2021-01-01 23:25:30.167
246	32	1720	2021-01-02 07:51:42.593
247	32	99	2021-01-02 07:52:19.500
248	32	1473	2021-01-02 07:52:35.140
249	32	2749	2021-01-02 07:53:11.593
250	32	1669	2021-01-02 07:53:21.547
251	32	1818	2021-01-02 07:53:59.063
252	32	555	2021-01-02 07:54:08.813
253	32	1202	2021-01-02 07:54:26.437
254	56	439	2021-01-02 09:34:39.613
255	56	2443	2021-01-02 09:49:28.993
256	56	824	2021-01-02 09:50:45.727
257	37	1721	2021-01-02 09:51:45.507
258	37	577	2021-01-02 09:51:52.837
259	56	1885	2021-01-02 09:51:54.553
260	37	205	2021-01-02 10:00:54.260
261	37	345	2021-01-02 10:00:54.260
262	37	1626	2021-01-02 10:00:54.260
263	37	653	2021-01-02 10:00:54.260
264	37	2963	2021-01-02 10:00:54.260
265	37	1190	2021-01-02 10:00:54.260
266	37	2093	2021-01-02 10:00:54.260
267	37	39	2021-01-02 10:00:54.260
268	37	3085	2021-01-02 10:00:54.260
