Id	Gênero	Gênero Pai	Id Gênero Pai	Id Usuário Inclusão
1	Blues			1
2	Classical			1
3	Country			1
4	Dance / EDM (Electronic Dance Music)			1
5	Easy Listening			1
6	Folk / Acoustic			1
7	Hip-hop and Rap			1
8	Jazz			1
9	Latin			1
10	Metal			1
11	New Age			1
12	Pop			1
13	R&B			1
14	Rock			1
15	World / Traditional Folk			1
16	Acoustic Blues	Blues	1	1
17	Blues	Blues	1	1
18	Blues Rock	Blues	1	1
19	British Blues	Blues	1	1
20	Canadian Blues	Blues	1	1
21	Chicago Blues	Blues	1	1
22	Country Blues	Blues	1	1
23	Delta Blues	Blues	1	1
24	Electric Blues	Blues	1	1
25	Gospel Blues	Blues	1	1
26	Harmonica Blues	Blues	1	1
27	Jazz Blues	Blues	1	1
28	Jump Blues	Blues	1	1
29	Louisiana Blues	Blues	1	1
30	Memphis Blues	Blues	1	1
31	Modern Blues	Blues	1	1
32	New Orleans Blues	Blues	1	1
33	Piano Blues	Blues	1	1
34	Piedmont Blues	Blues	1	1
35	Power Blues-Rock	Blues	1	1
36	Pre-War Blues	Blues	1	1
37	Punk Blues	Blues	1	1
38	Rhythm And Blues	Blues	1	1
39	Soul Blues	Blues	1	1
40	Swamp Blues	Blues	1	1
41	Texas Blues	Blues	1	1
42	Traditional Blues	Blues	1	1
43	Avant-Garde	Classical	2	1
44	Baroque	Classical	2	1
45	Chamber Ensemble	Classical	2	1
46	Chamber Orchestra	Classical	2	1
47	Choral	Classical	2	1
48	Classical	Classical	2	1
49	Classical Cello	Classical	2	1
50	Classical Era	Classical	2	1
51	Classical Guitar	Classical	2	1
52	Classical Piano	Classical	2	1
53	Classical Soprano	Classical	2	1
54	Compositional Ambient	Classical	2	1
55	Contemporary Classical	Classical	2	1
56	Early Modern Classical	Classical	2	1
57	Early Music	Classical	2	1
58	Early Music Choir	Classical	2	1
59	Early Music Ensemble	Classical	2	1
60	Early Romantic Era	Classical	2	1
61	Historically Informed Performance	Classical	2	1
62	Impressionism	Classical	2	1
63	Italian Baroque	Classical	2	1
64	Late Romantic Era	Classical	2	1
65	Medieval	Classical	2	1
66	Minimalism	Classical	2	1
67	Neoclassicism	Classical	2	1
68	Opera	Classical	2	1
69	Orchestra	Classical	2	1
70	Polyphony	Classical	2	1
71	Post-Romantic Era	Classical	2	1
72	Renaissance	Classical	2	1
73	Serialism	Classical	2	1
74	String Quartet	Classical	2	1
75	Violin	Classical	2	1
76	Alberta Country	Country	3	1
77	Alternative Country	Country	3	1
78	Australian Country	Country	3	1
79	Bakersfield Sound	Country	3	1
80	Bluegrass	Country	3	1
81	Bluegrass Gospel	Country	3	1
82	Cajun	Country	3	1
83	Classic Country Pop	Country	3	1
84	Contemporary Country	Country	3	1
85	Country	Country	3	1
86	Country Dawn	Country	3	1
87	Country Gospel	Country	3	1
88	Country Pop	Country	3	1
89	Country Rap	Country	3	1
90	Country Road	Country	3	1
91	Country Rock	Country	3	1
92	Cowboy Western	Country	3	1
93	Cowpunk	Country	3	1
94	Dansband	Country	3	1
95	Honky Tonk	Country	3	1
96	Kentucky Roots	Country	3	1
97	Modern Country Rock	Country	3	1
98	Nashville Sound	Country	3	1
99	Neo-Traditional Bluegrass	Country	3	1
100	Neo-Traditional Country	Country	3	1
101	New Americana	Country	3	1
102	Oklahoma Country	Country	3	1
103	Outlaw Country	Country	3	1
104	Progressive Bluegrass	Country	3	1
105	Queer Country	Country	3	1
106	Red Dirt	Country	3	1
107	Sertanejo	Country	3	1
108	Texas Country	Country	3	1
109	Traditional Bluegrass	Country	3	1
110	Traditional Country	Country	3	1
111	Truck-Driving Country	Country	3	1
112	Western Swing	Country	3	1
113	Wyoming Roots	Country	3	1
114	Bass House	Dance / EDM (Electronic Dance Music)	4	1
115	Bass Trap	Dance / EDM (Electronic Dance Music)	4	1
116	Big Room	Dance / EDM (Electronic Dance Music)	4	1
117	Breakbeat	Dance / EDM (Electronic Dance Music)	4	1
118	Breakcore	Dance / EDM (Electronic Dance Music)	4	1
119	Brostep	Dance / EDM (Electronic Dance Music)	4	1
120	Chillstep	Dance / EDM (Electronic Dance Music)	4	1
121	Complextro	Dance / EDM (Electronic Dance Music)	4	1
122	Deep Big Room	Dance / EDM (Electronic Dance Music)	4	1
123	Deep Groove House	Dance / EDM (Electronic Dance Music)	4	1
